SAMD11,NM_152486.2
KLHL17,NM_198317.2
ISG15,NM_005101.3
AGRN,NM_198576.3
TNFRSF4,NM_003327.3
B3GALT6,NM_080605.3
C1QTNF12,NM_001014980.2
UBE2J2,NM_194315.1
TAS1R3,NM_152228.1
DVL1,NM_004421.2
MXRA8,NM_032348.3
VWA1,NM_022834.4
ATAD3A,NM_001170535.1
TMEM240,NM_001114748.1
MIB2,NM_080875.2
MMP23B,NM_006983.1
CDK11A,NM_024011.2
GNB1,NM_002074.4
KIAA1751,NM_001304360.1
GABRD,NM_000815.4
SKI,NM_003036.3
MORN1,NM_024848.2
PEX10,NM_153818.1
PLCH2,NM_001303012.1
TNFRSF14,NM_003820.3
MMEL1,NM_033467.3
PRDM16,NM_022114.3
ARHGEF16,NM_014448.3
TP73,NM_005427.3
SMIM1,NM_001163724.2
CEP104,NM_014704.3
NPHP4,NM_015102.4
KCNAB2,NM_003636.3
CHD5,NM_015557.2
RNF207,NM_207396.2
ESPN,NM_031475.2
PLEKHG5,NM_020631.4
TAS1R1,NM_138697.3
CAMTA1,NM_015215.3
PER3,NM_016831.2
UTS2,NM_021995.2
PARK7,NM_007262.4
SLC45A1,NM_001080397.2
RERE,NM_012102.3
CA6,NM_001215.3
SLC2A5,NM_003039.2
H6PD,NM_004285.3
TMEM201,NM_001130924.2
PIK3CD,NM_005026.3
CLSTN1,NM_001009566.2
NMNAT1,NM_022787.3
KIF1B,NM_015074.3
KIF1B,NM_183416.3
PEX14,NM_004565.2
CASZ1,NM_001079843.2
C1orf127,NM_001170754.1
TARDBP,NM_007375.3
MASP2,NM_006610.3
MTOR,NM_004958.3
UBIAD1,NM_013319.2
FBXO2,NM_012168.5
MAD2L2,NM_001127325.1
MTHFR,NM_005957.4
CLCN6,NM_001286.3
NPPA,NM_006172.3
PLOD1,NM_000302.3
MFN2,NM_014874.3
MIIP,NM_021933.3
TNFRSF1B,NM_001066.2
VPS13D,NM_015378.3
DHRS3,NM_004753.6
HNRNPCL1,NM_001013631.2
PRAMEF2,NM_023014.1
PRDM2,NM_012231.4
CTRC,NM_007272.2
CASP9,NM_001229.4
PLEKHM2,NM_015164.2
FBLIM1,NM_001024215.1
SPEN,NM_015001.2
CLCNKA,NM_004070.3
CLCNKB,NM_000085.4
EPHA2,NM_004431.3
SPATA21,NM_198546.1
NECAP2,NM_001145277.1
ATP13A2,NM_022089.3
SDHB,NM_003000.2
PADI2,NM_007365.2
PADI3,NM_016233.2
PADI4,NM_012387.2
PADI6,NM_207421.4
ARHGEF10L,NM_018125.3
PAX7,NM_002584.2
PAX7,NM_001135254.1
TAS1R2,NM_152232.2
ALDH4A1,NM_003748.3
UBR4,NM_020765.2
EMC1,NM_015047.2
AKR7A3,NM_012067.2
AKR7A2,NM_003689.3
PQLC2,NM_001040125.1
NBL1,NM_182744.3
HTR6,NM_000871.2
RNF186,NM_019062.1
PLA2G2A,NM_000300.3
PLA2G5,NM_000929.2
PLA2G2D,NM_012400.3
CDA,NM_001785.2
PINK1,NM_032409.2
DDOST,NM_005216.4
KIF17,NM_020816.3
ECE1,NM_001397.2
ALPL,NM_000478.4
USP48,NM_032236.5
HSPG2,NM_005529.6
CDC42,NM_001791.3
WNT4,NM_030761.4
ZBTB40,NM_001083621.1
C1QA,NM_015991.2
C1QC,NM_172369.3
C1QB,NM_000491.3
EPHB2,NM_017449.3
KDM1A,NM_001009999.2
LUZP1,NM_033631.3
HNRNPR,NM_001102398.2
ID3,NM_002167.4
RPL11,NM_000975.3
